Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1.62922E+12,2021-08-17 18:00:00+00:00,BTCUSDT,45800.62,46222.4,45636.22,45760.53,1848.435501,84900098.28,52908
1.62923E+12,2021-08-17 19:00:00+00:00,BTCUSDT,45760.54,45798.75,45287.55,45465.01,3598.03486,163749989,77357
1.62923E+12,2021-08-17 20:00:00+00:00,BTCUSDT,45465.01,45543.44,44537.03,44999.01,5621.615937,252571686.6,153677
1.62923E+12,2021-08-17 21:00:00+00:00,BTCUSDT,44999.01,45046.51,44675,44777.14,2274.672162,102046417.5,70692
1.62924E+12,2021-08-17 22:00:00+00:00,BTCUSDT,44777.14,44974.32,44376,44927.48,3040.424976,135979707.9,83600
1.62924E+12,2021-08-17 23:00:00+00:00,BTCUSDT,44927.48,44941.09,44558.13,44695.95,1521.863224,68100739.36,46491
1.62924E+12,2021-08-18 00:00:00+00:00,BTCUSDT,44695.95,45031.56,44459.49,44820,3085.332314,138057281.9,78054
1.62925E+12,2021-08-18 01:00:00+00:00,BTCUSDT,44819.99,45135.4,44203.28,45119.99,3188.402542,142420003,91875
1.62925E+12,2021-08-18 02:00:00+00:00,BTCUSDT,45120,45135.18,44278.18,44940.01,4901.619853,218888571.1,85075
1.62926E+12,2021-08-18 03:00:00+00:00,BTCUSDT,44940.01,45067.91,44608.7,45055.78,1513.398459,67828831.31,44079
1.62926E+12,2021-08-18 04:00:00+00:00,BTCUSDT,45055.78,45281.87,44861,45074.04,1739.8894,78406467.1,43948
1.62926E+12,2021-08-18 05:00:00+00:00,BTCUSDT,45074.03,45440,45007,45440,2105.803865,95320096.46,46755
1.62927E+12,2021-08-18 06:00:00+00:00,BTCUSDT,45439.99,45500,45222.01,45395.89,1532.329781,69506016.04,39863
1.62927E+12,2021-08-18 07:00:00+00:00,BTCUSDT,45395.9,45436.57,44853.8,44951.32,1795.9087,81062784.99,46015
1.62927E+12,2021-08-18 08:00:00+00:00,BTCUSDT,44951.31,45279.92,44859.55,45251.83,1473.58187,66423991.37,41823
1.62928E+12,2021-08-18 09:00:00+00:00,BTCUSDT,45251.82,45462.71,45122.01,45373.42,1727.680646,78341854.97,43056
1.62928E+12,2021-08-18 10:00:00+00:00,BTCUSDT,45373.42,45560,45108.03,45180.35,1718.812472,77919404.09,112729
1.62928E+12,2021-08-18 11:00:00+00:00,BTCUSDT,45180.35,45421.02,44650,44746.59,2640.739966,118729647.4,68289
1.62929E+12,2021-08-18 12:00:00+00:00,BTCUSDT,44746.6,45103.44,44650.01,44995.7,2292.270194,102884814,57697
1.62929E+12,2021-08-18 13:00:00+00:00,BTCUSDT,44995.7,45400,44995.69,45250,1843.360085,83373577.66,65755
1.6293E+12,2021-08-18 14:00:00+00:00,BTCUSDT,45250,45493.51,45144.27,45402.08,2073.882113,94009803.28,54305
