Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1.62E+12,2021-05-28 15:00:00+00:00,ETHUSDT,2549.66,2580.4,2530,2558.36,50597.54193,129374448.4,62890
1.62E+12,2021-05-28 16:00:00+00:00,ETHUSDT,2558.92,2572.5,2470,2470.5,66268.93005,166849400.4,91861
1.62E+12,2021-05-28 17:00:00+00:00,ETHUSDT,2470.02,2512,2456.25,2501,52309.50523,130351085.2,70229
1.62E+12,2021-05-28 18:00:00+00:00,ETHUSDT,2501,2544.84,2471.21,2522,47087.23946,117926263.7,61079
1.62E+12,2021-05-28 19:00:00+00:00,ETHUSDT,2522.18,2555,2492.36,2499.51,59511.99706,149747948.5,63594
1.62E+12,2021-05-28 20:00:00+00:00,ETHUSDT,2499.14,2525.12,2420,2427.35,60547.7413,149875766.3,94587
1.62E+12,2021-05-28 21:00:00+00:00,ETHUSDT,2427.34,2445.02,2327.38,2369.54,91402.08593,217408122.1,150502
1.62E+12,2021-05-28 22:00:00+00:00,ETHUSDT,2369.56,2410.02,2358.54,2388.8,59658.70461,142120743.7,100967
1.62E+12,2021-05-28 23:00:00+00:00,ETHUSDT,2388.84,2434.73,2380.02,2412.1,38583.87518,92962618.91,55813
1.62E+12,2021-05-29 00:00:00+00:00,ETHUSDT,2412.34,2502.73,2394.4,2492.28,64309.42011,157573418.1,99666
1.62E+12,2021-05-29 01:00:00+00:00,ETHUSDT,2492.1,2539.9,2491.89,2526.86,53117.66206,133624886.8,76424
1.62E+12,2021-05-29 02:00:00+00:00,ETHUSDT,2526.72,2540.33,2498,2513.97,48715.84713,122567089.4,72362
1.62E+12,2021-05-29 03:00:00+00:00,ETHUSDT,2514.36,2546.52,2499.77,2525.29,38368.05638,96826565.41,51968
1.62E+12,2021-05-29 04:00:00+00:00,ETHUSDT,2525.29,2535.41,2462.45,2468.51,47165.43963,118024981.1,55851
1.62E+12,2021-05-29 05:00:00+00:00,ETHUSDT,2468.7,2574.27,2468.7,2540.65,69029.28764,174964472.1,122411
1.62E+12,2021-05-29 06:00:00+00:00,ETHUSDT,2540.92,2555.77,2517.12,2521.65,32740.57088,83173411.56,61807
